Abstract,Abstract Description,Name/Institution/Workplace,Time Slot,Student Presenter
Tree-Based Approaches for Personalized Risk Prediction with Longitudinal Biomarkers: An Application to Fetal Growth,"Longitudinal monitoring of biomarkers is often helpful for predicting disease or a poor clinical outcome. Much research on longitudinal biomarkers has been on the overall accuracy in predicting an outcome. However, while good predictive accuracy may be found only in a subgroup of the population, identification of such subgroups can guide the design of follow-up schemes in future studies. In the Fetal Growth Study, we consider the prediction of both large and small for gestational age births by using longitudinal ultrasound measurements, and we attempt to identify subgroups of women for whom prediction is more (or less) accurate, should they exist. We propose tree-based approaches to identifying such subgroups, and a pruning algorithm that explicitly incorporates a desired type I error rate, allowing us to control the risk of false discovery of subgroups. The methods proposed are applied to data from the Scandinavian Fetal Growth Study and are evaluated via simulations.","Danping Liu National Institutes of Health, Jared C. Foster Eunice Kennedy Shriver National Institute of Child Health and Human Development and Mayo Clinic, Paul S. Albert Eunice Kennedy Shriver National Institute of Child Health and Human Development and National Cancer Institute, Aiyi Liu Eunice Kennedy Shriver National Institute of Child Health and Human Development",Monday 14:30-15:00,N
Small Area Estimation with Covariate Measurement Error,"Small area estimation (SAE) has become a very active area of research in statistics. Many models studied in SAE focus on one or few variables of interest from a single survey without paying close attention to the treatment of covariates. It is useful to utilize the idea of “borrowing strength” from covariates to build a model which combines two (or multiple) surveys. In many real applications, there are also covariates measured with errors. In this talk, we study a nested error linear regression model with combining two surveys which has multiple unit level error-free covariates and multiple area level covariates subject to measurement error. In particular, we derive an empirical best predictor of a small area mean with corresponding mean squared prediction error estimation. The performance of the proposed approach is studied through simulation studies and also by a real application. ","Mahmoud Torabi University of Manitoba, Gauri Datta University of Georgia, J.N.K. Rao Carleton University",Monday 13:30-14:00,N
Non-response Follow-up for Business Surveys,"Follow-up of nonrespondents in business surveys is a time and resource intensive activity. Given the decline in response rates, non-response follow-up takes on more and more importance to ensure continued quality of estimates produced. Given a fixed budget to follow-up non-responding units, what is the best way to select units for non-response follow-up in business surveys? Should all non-respondents be followed up or just a sample of them? If a sample is followed-up, how should it be selected? Should the sample be selected using simple random sampling (SRS), stratified SRS or probability proportional to size (PPS) sampling? These questions were addressed in two ways. Firstly, a simulation study compared the Monte Carlo biases and mean square error using data from an existing survey. Secondly, the exact follow-up sample size for a follow-up using simple random sampling and assuming uniform response rates was developed. ","Wesley Yung Statistics Canada, Mike Hidiroglou Statistics Canada, Elisabeth Neusy Statistics Canada",Monday 14:00-14:30,N
Simplified Variance Estimation in Surveys,"Variance estimation presents challenges in the context of complex survey designs. Conventional variance estimators rely on second-order inclusion probabilities that can be difficult to compute for some sampling designs. Based on a procedure proposed by Ohlsson (1998) in the context of sequential Poisson sampling, we suggest a simplified variance estimator that requires only the first-order inclusion probabilities. The idea is to approximate an estimation strategy (which consists of a sampling design and a point estimator) by an equivalent strategy based on Poisson sampling. Proportional-to-size sampling designs and cluster designs will discussed. Results of a simulation study will be presented. ","David Haziza Université de Montréal, Jean-François Beaumont Statistics Canada, Isabelle Lefebvre Université de Monréal",Monday 14:30-15:00,N
Pareto-optimal Reinsurance with Two Constraints under Distortion Risk Measure,"We study the Pareto-optimal reinsurance policies, where both the insurer's and the reinsurer's risks and returns are considered. We assume that the insurer and the reinsurer measure their risks by some distortion risk measures with possibly different distortion operators. In addition, the reinsurance premium is determined by a distortion risk measure. In our analysis, we suppose that a reinsurance policy is feasible only if the resulting risk of each party is below some pre-determined values. Methodologically, we show that the generalized Neyman-Pearson method, the Lagrange multiplier method, and the dynamic control methods can be utilized to solve the optimization problem with constraints. Special cases when both parties' risks are measured by Value-at-Risk (VaR) and Tail Value-at-Risk (TVaR) are studied in great details. An numerical example is provided to illustrate practical implications of the results.","Wenjun Jiang University of Western Ontario, Jiandong Ren University of Western Ontario, Hanping Hong University of Western Ontario",Monday 13:30-13:45,N
Improved Global Minimum Variance Portfolio via a Dominant Eigenvalue Shrinkage,"In this talk, we first discuss the conventional two-step method for constructing a Global Minimum Variance Portfolio (GMVP). It is noted that in a vast portfolio allocation problem, the conventional method fails to give us a portfolio with a minimum true risk due to a severe estimation error in the sample covariance matrix. Then we show that under a set of conditions for the true covariance matrix, it is possible to reduce the true portfolio risk by replacing the sample covariance matrix with a modified covariance matrix constructed from a shrunk dominant eigenvalue in the first step. Simulation and empirical results are used to illustrate the effect of this shrinkage method.","Danqiao Guo University of Waterloo, Tony Wirjanto University of Waterloo, Chengguo Weng University of Waterloo",Monday 13:45-14:00,N
Detecting Adverse Drug Effects from Pharmacovigilance Databases,"The World Health Organization and many countries have built pharmacovigilance databases to detect potential adverse effects due to marketed drugs. Although a number of methods have been developed for early detection of adverse drug effects, the vast majority of them do not consider the multiplicity arising from testing thousands of drug and adverse event combinations. We first derive the optimal statistic to maximize the power of detection while maintaining the desired error rate. We then propose a nonparametric empirical Bayes method to estimate the optimal statistic and demonstrate its superior performance through simulation. Finally, the proposed method is applied to the pharmacovigilance database in the United Kingdom.",Yu Gao University of Waterloo,Monday 14:00-14:15,N
A Latent Gaussian Mixture Model for Longitudinal Data,"We introduce a mixture model for clustering high-dimensional longitudinal data; that is, data containing measurements taken at a large number of time points. The model uses an extension of the mixture of common factor analyzers model to allow the variability in such measurements to be explained by measurements taken at a smaller number of time points. A modified Cholesky decomposition on the latent covariance matrix is utilized to take into account the longitudinal nature of the data.","Vanessa Bierling McMaster University, Paul D. McNicholas McMaster University",Monday 14:15-14:30,N
Robust Mixture Discriminant Analysis,"The purpose of this work is to develop robust discriminant analysis procedures making use of mixture models. This work is motivated by recent model-based clustering work. This includes work on mixtures of multivariate t-distributions, mixtures of multivariate power exponential distributions, and mixtures of contaminated Gaussian distributions. Parameter estimation is carried out using the expectation-maximization algorithm, and the number of components per class is selected using the Bayesian information criterion. The proposed approaches are illustrated via simulated as well as real data.","Nkumbuludzi Ndwapi McMaster University, Paul D. McNicholas McMaster University",Monday 14:45-15:00,N
A Longitudinal Linear Mixed Effect Model for Bivariate Responses with Measurement Errors and Misclassification in Covariates,"This talk concerns estimation of a longitudinal linear mixed effects model with bivariate responses mixed with continuous and binary variables in the presence of measurement errors in the covariates. We consider both continuous covariates as well as categorical covariates with misclassification up to three categories. Through simulation studies, we investigate the impact of measurement errors on the covariates on the naive estimator of each parameter in the model when the other parameters are fixed.","Jia Li University of Calgary, Alexander R. de Leon University of Calgary, Haocheng Li University of Calgary",Monday 13:30-13:45,N
Accurate Confidence Intervals for Clustered Data and Small Samples,"The presence of clustering in data sets can impede statistical inference, especially for too few or small clusters of observations. To address the complications of clustered data, research has focused on adjustments to conventional distribution-free approaches in lieu of likelihood-based inference, which has been known to be sensitive for small samples. However, advances in likelihood theory offer an alternative solution to the clustering problem via higher-order approximations that are accurate, and can be attractive when working with small samples. I demonstrate that higher-order likelihood methods perform comparably well to some current distribution-free approaches in terms of attaining the appropriate coverage and can be preferable in terms of power. Some illustrative examples using the Tennessee Student-Teacher Achievement Ratio (STAR) dataset are provided as a context for comparison of higher-order likelihood and distribution-free approaches.",Harris Quach Pennsylvania State University,Monday 13:45-14:00,N
Incorporating Auxiliary Information by Joint Modelling of Pseudo Data and Length Biased Data,"Survival data are often limited in sample size, subject to length-biased sampling, or limited to a specific time/age range. Information for a sample from the same or similar cohorts, having more observations or a longer observation time, may be obtained from the literature. However, we may not be able to access the source data, or may have trouble combining the two samples. We introduce a way to incorporate the information from the auxiliary sample by creating pseudo datasets which match the form and conditions of the observed sample, eliminating the length-biased sampling problem and improving efficiency. We will illustrate the method with a real dataset.","Yidan Shi University of Waterloo, Leilei Zeng University of Waterloo, Mary E. Thompson University of Waterloo, Suzanne Tyas University of Waterloo",Monday 14:00-14:15,N
Analysis of Recurrent Events with Dynamic Models for Dependent Gap Times: A Copula Approach,"The analysis of past developments of processes through dynamic covariates is useful to understand the present and the future of processes generating recurrent events. In this study, we consider two important features of such processes through dynamic models. These features are related to monotonic trends and clustering of events in recurrent event data and are common in medical studies. We discuss certain issues in the estimation of these features through dynamic models based on event counts when unexplained heterogeneity is present in the data. Furthermore, we show that the violation of the strong assumption of independent gap times may introduce substantial bias in the estimation of these features with models based on event counts. To address these issues, we therefore apply a copula-based estimation method for the gap time models. This approach does not rely on the strong independent gap time assumption and provides valid estimation of model parameters.","Kunasekaran Nirmalkanna Memorial University of Newfoundland, Candemir Cigsar Memorial University of Newfoundland",Monday 14:15-14:30,N
Left-Truncated and Right-Censored Survival Data Analysis with Covariate Measurement Error,"Analysis of left-truncated and right-censored (LTRC) survival data has received extensive interest. Many inference methods have been developed for various survival models, including the Cox model and the additive hazards model. These methods, however, break down for many applications where survival data are error-contaminated. Although error-prone survival data commonly arise in practice, little work has been available in the literature for handling left-truncated and right-censored survival data with measurement error. In this paper, we explore this important problem under the Cox model. We develop valid inference methods and derive kernel smoothing estimators for the survival model parameters. We establish asymptotic results for the proposed estimators and assess the performance of our proposed methods using simulation studies. Our methods have a broad scope of application, including handling length-biased sampling data.",Li-Pang Chen University of Waterloo,Monday 14:30-14:45,N
Group Variable Selection for Recurrent Event Data,"In many scientific applications, such as biological studies, the predictors or covariates are usually high dimensional and naturally grouped. In this research, we consider the Andersen-Gill regression model for the analysis of recurrent event data with high dimensional group covariates. In order to study the effects of the covariates on the occurrence of recurrent events, a hierarchically penalized group selection method is introduced to address group selection problem under the Andersen-Gill model. We also consider an adaptive hierarchically penalized method for selecting covariates more efficiently, especially for identifying the important covariates in important groups. The asymptotic oracle properties of these methods are investigated. Our simulation studies show that the proposed methods perform well in selecting important groups and important individual covariates in these groups simultaneously. We illustrate these methods using some real life data sets from medicine.","Kaida Cai University of Calgary, Hua Shen University of Calgary, Xuewen Lu University of Calgary",Monday 14:45-15:00,N
SimRVPedigree: An R Package to Simulate Pedigrees Ascertained for Multiple Relatives Affected by a Rare Disease,"Family-based studies are receiving renewed attention because of their ability to identify genetic susceptibility factors associated with rare diseases. These studies have more power to detect rare variants, require smaller sample sizes, and can more accurately detect sequencing errors than case-control studies. However, garnering enough families for analysis of a rare disease could require years of effort, making these studies difficult to replicate. To address this shortcoming we have created an R package, SimRVPedigree, to randomly simulate families ascertained to contain multiple relatives affected by a rare disease. The package aims to mimic the process of family development, while allowing users to incorporate multiple facets of family ascertainment. We illustrate how approximate Bayesian computation with SimRVPedigree may be used to estimate the relative risk of disease for genetic cases in a sample of ascertained families.","Christina M. Nieuwoudt Simon Fraser University, Jinko Graham Simon Fraser University",Monday 13:30-13:45,N
A Comparison of Association Methods for Fine-Mapping from Sequence Data in Diploid Populations using the Case-Control Study Design,"Many methods have been proposed to detect disease association with sequence variants in candidate genomic regions. However, the literature lacks a comparison of these methods in terms of their ability to localize or fine-map the causal risk variants lying within the candidate region. We extend a previous comparison of the detection abilities of these methods to a comparison of their localization abilities. In contrast to previous work, cases and controls are sampled from a diploid (i.e., two-parent) rather than a haploid (one-parent) population. We simulated 200 sequencing datasets of a 2-million base-pair candidate genomic region for 50 cases and 50 controls. Risk variants were in a middle subregion. We present a case study of one simulated dataset to illustrate the methods and describe simulation results to score which method best localizes the risk subregion. Our results lend support to the potential of genealogy-based methods for genetic fine-mapping of disease. ","Charith Bhagya Karunarathna Simon Fraser University, Jinko Graham Simon Fraser University",Monday 13:45-14:00,N
A Robust Allele-based Regression Framework for Testing Association and Hardy-Weinberg Equilibrium,"Existing allele-based association tests, examining association between genetic markers and complex human traits, are sensitive to the assumption of Hardy-Weinberg equilibrium (HWE) and limited to binary outcomes. We propose a new regression framework with individual allele as the response variable. We show that the score test statistic derived from this regression model contains a correction factor that explicitly adjusts for the departure from HWE, thus it maintains type 1 error control in the presence of HW disequilibrium (HWD). In the absence of HWD, the proposed method has comparable power as genotype-based association tests. Using this regression framework, we can then study quantitative traits, simultaneously test the HWE assumption, as well as handle more complex data, including correlated individuals from families, multiple populations and uncertain genotype observations. We support our analytical findings using evidence from both simulation and application studies.","Lin Zhang University of Toronto, Lei Sun University of Toronto",Monday 14:00-14:15,N
Gene Set Enrichment Analysis in Longitudinal Studies,"Gene-set enrichment methods aim to discover gene-sets associated with phenotypes. Although there has been progress in developing proper methods for analysis of high dimensional microarray datasets in cross-sectional studies, methods for dealing with longitudinal phenotypes are still limited. A two-step self-contained gene-set analysis method is developed to handle multiple longitudinal outcomes. Analysis of within-subject variation in the first step is followed by examining the between-subject variation utilizing Linear Combination Test (LCT) in the second step. This method is also applicable in analysis of time-course microarray data. The performance of the method is evaluated in a simulation study. The proposed method is very efficient in controlling Type I error and works well with small sample size, large number of genes and missing data. ","Elham Khodayari Moez University of Alberta, Irina Dinu School of Public Health, University of Alberta",Monday 14:15-14:30,N
Factor Copula Analysis for Multivariate Ordinal Data ,"In genetic studies of many neurological and psychological disorders, quantitative phenotypic traits are latent and inferred from the ordinal assessment scores in diagnostic questionnaires. In such cases, an accurate representation of the dependence structure in multivariate ordinal data is essential for correct identification of these latent traits and their use in genetic mapping. This work provides a detailed comparison of dependence measures for multivariate ordinal data and investigates the robustness of polychoric correlation estimation under settings with asymmetric dependence patterns and varying degrees of skewness in marginal distributions. An alternative strategy to quantify the latent traits is proposed using factor copula models. We compare the performances of these approaches in factor scores regression for testing genetic associations. ","Agnes Nessie Amu University of Manitoba, Elif Fidan Acar University of Manitoba",Monday 14:30-14:45,N
Reduced-Rank Singular Value Decomposition for Dimension Reduction with High-Dimensional Data,"Recent technical advances in genomics have led to an abundance of high-dimensional and correlated data. Dimension reduction methods typically rely on matrix decompositions (e.g. SVD and EVD) to compute the quantities needed for further analysis. However, in a high-dimensional setting, these decompositions must be adapted to cope with the singularity of the matrices involved. We illustrate how this can be done in the context of a particular dimension reduction method, Principal Component of Explained Variance (PCEV). PCEV seeks a linear combination of outcomes by maximising the proportion of variance explained by the covariates of interest. Using random matrix theory, we propose a heuristic that provides a fast way to compute valid p-values to test the significance of the decomposition. We compare the power of this approach with that of other common approaches to high-dimensional data. Finally, we illustrate our method using methylation data collected on a small number of individuals.","Maxime Turgeon McGill University, Stepan Grinek BC Cancer Agency, Celia M.T. Greenwood Lady Davis Institute, Jewish General Hospital, Montreal and McGill University, Aurélie Labbe HEC Montréal",Monday 14:45-15:00,N
"Properties of Risk Measures Inspired from the Ruin Probability, the Deficit at Ruin, and the Time of Ruin","We study a risk measure derived from ruin theory defined as the amount of capital needed to cope in expectation with the first occurrence of a ruin event. Specifically, within the compound Poisson model, we investigate some properties of this risk measure with respect to the stochastic ordering of claim severities. Particular situations where combining risks yield diversification benefits are identified. Closed form expressions and upper bounds are also provided for certain claim severities. Further extensions are explored.","Ilie Radu Mitric Université Laval, Julien Trufin Université Libre de Bruxelles, Amine Mohamed Lkabous Université du Québec à Montréal",Monday 15:30-16:00,N
Risk Measures Related to both the Information of an Individual Risk and Industry Risk,"In this paper we show how risk measures can be embedded within the framework of credibility theory. More specifically, we introduce a new type of risk measures, the credible risk measures, in order to capture the risk of an individual contract (or financial portfolio) as well as the industry risk consisting of several similar, but not identical, contracts (or financial portfolios). We consider the classical case, as well as the regression case. Examples are given based on the Fama/French data.",Georgios Pitselis University of Piraeus,Monday 16:00-16:30,N
Good Deal Indices in Asset Pricing: Actuarial and Financial Implications,"We integrate into a single optimization problem a risk measure and, either arbitrage free real market quotations, or financial pricing rules generated by an arbitrage free stochastic pricing model. We call a good deal (GD) a sequence of investment strategies such that the couple (expected-return, risk) diverges to (+infinity;-infinity). The existence of such a sequence is equivalent to the existence of an alternative sequence such that the couple (risk, price) goes to (-infinity; - infinity). Moreover, by appropriately adding the riskless asset, every GD may generate a new one composed only of strategies priced at 1. We show how GDs exist in practice, and study how to measure a good deal size. We also provide the minimum relative (per dollar) price modification that prevents the existence of GDs. This is a crucial tool to detect over/under-priced securities or marketed claims. Many classical actuarial and financial optimization problems can generate wrong solutions if the used market quotations or stochastic pricing models do not prevent the existence of GDs. We illustrate this and show how GD indices help overcome this caveat. Numerical illustrations are given. ","Jose Garrido Concordia University, Alejandro Balbás University Carlos III de Madrid, Spain, Ramin Okhrati United of Southampton, United Kingdom",Monday 16:30-17:00,N
Teaching the Statistical Investigation Process with Simulation-Based Inference to Improve Statistical Thinking ,"The statistics education community is increasingly focusing on the use of simulation-based methods, including bootstrapping and permutation tests, to illustrate core concepts of statistical inference within the context of the overall research process. This new focus presents an opportunity to address documented shortcomings in introductory and intermediate level statistics courses. In this talk I will (1) discuss the motivation and rationale behind the simulation-based approach, (2) share some concrete examples of how the approach works and can be integrated into existing courses, (3) present research evidence of its effectiveness at impacting students conceptual understanding and attitudes post-course and in the months following the courses completion and, (4) share a wealth of instructional resources available to support instructors trying out and using these approaches.",Nathan Tintle Dordt College,Monday 15:30-16:15,N
Incorporating Simulation-Based Inference in an Introductory Statistics Course,"The use of simulation-based methods in the teaching of statistical inference has received considerable attention in recent years. The objective of this presentation is to share my experience incorporating simulation-based methods of inference in the introductory statistics course at the University of Lethbridge. This change was made for the first time in the 2016/17 academic year. I will discuss motivations for the change, and some of the consequences that arose from the change. I will address available resources, highlight student performance and feedback, as it pertains to the change, and discuss lessons learned for next time.",John Sheriff University of Lethbridge,Monday 16:15-17:00,N
Comparing Bayesian External and Internal Validation Methods in Correcting Outcome Misclassification Bias in Logistic Regression,"Misclassification is frequent in administrative data. Using simulations, we compared two Bayesian methods in reducing outcome misclassification bias in logistic regression. Sensitivity and specificity priors were based on external information in method 1 and on internal complementary data in method 2. Bias, 95\% credible intervals (CI) coverage and mean squared error (MSE) were used to assess the performance of these methods. Both methods yielded estimates with less bias (-0.113 - 0.047) than the naïve analysis (-0.452 - 0.258) in all scenarios explored. Method1 performed well with reasonable sensitivity and specificity priors; performance decreased with decreased mean of prior sensitivity. CI coverage was high for both methods (95-100\%). The Bayesian external validation method is practical and useful to reduce outcome misclassification bias in logistic regression. While the internal method may provide better adjustment, it has the disadvantage of requiring additional individual data.","Elham Rahme McGill University, Jiayi Ni Research Institute of the McGill University Health Center, Kaberi Dasgupta McGill University, Denis Talbot Université Laval, Geneviève Lefebvre Université du Québec à Montréal, Lisa M. Lix University of Manitoba, Lucie Blais Université de Montréal",Monday 15:30-16:00,N
Validation of Codes and Algorithms are an Essential Part of Research Using Routinely Collected Health Data,"Routinely collected health data (RCD) are defined as data collected without specific a priori research questions developed prior to utilization for research. In Canada, the most widely used population-based RCD are health administrative data, other examples include disease registries, public health reporting, and electronic health records. With the increased use of RCD, there is increased awareness of methodological concerns. The REporting of studies Conducted using Observational Routinely-collected Data (RECORD) statement was developed to address these limitations and to help meet the requirement of clear reporting of research using RCD. RECORD requires the description of validation studies of the codes/algorithms used to select the population, and to describe outcomes, confounders, or effect modifiers. I will emphasize the importance of algorithm and code validation prior to embarking on research using RCD, and present validation methods from the literature. We will encourage discussion on new and innovative methods to validate administrative data for use in health research.",Eric Benchimol University of Ottawa,Monday 16:00-16:30,N
Feature Selection Methods for the Development of Case Definitions for Common Chronic Conditions in Primary Care Electronic Medical Record Data,"Chronic disease surveillance information is dependent on the quality of the EMR data, and the quality of the case identification algorithms. Data were obtained from the Canadian Primary Care Sentinel Surveillance Network. A chart review was conducted for the presence of 8 chronic conditions in 1920 primary care patients. The results of this review will be used as training data for classification models. Features will be selected from billing codes, medication prescriptions, laboratory values, encounter diagnoses and health-problem lists. CART, C5.0, and CHAID decision tree algorithms will be compared with LASSO and forward stepwise logistic regression in terms of case definition development. A bootstrap validation technique will be used to select optimal complexity parameter value. Validity measures will be determined using 10-fold cross validation. RESULTS: It has been shown that these methods are comparable with committee created case definitions in terms of predictive accuracy. ","Tyler Williamson University of Calgary, Brendan Cord Lethebe University of Calgary, Colin Weaver University of Calgary, Tolulope T. Sajobi University of Calgary, Hude Quan University of Calgary",Monday 16:30-17:00,N
Observational Analyses of Cluster-Randomized Trials,"The cluster-randomized trial is an important tool for the study of interventions at a group level, and for interventions in which contamination may be a concern. Hospital-level program interventions are particularly appropriate for this design. Cluster-randomized trials can, however, be very expensive and time-consuming. Because these trials often involve collection of substantial data, observational analyses of follow-up data can provide useful information. I will discuss some analytic challenges related to observational analyses of cluster trials. Such challenges include methods to account for clustering, in particular how clustering affects missing data and measurement error, and appropriate statement of the research question and identification of correct comparisons to address the question. I will illustrate these problems through analyses of the PROBIT study of a breastfeeding promotion intervention.",Robert W. Platt McGill University,Monday 15:30-16:00,N
Analysis of Cluster-Randomized Trials with a Longitudinal Outcome Subject to Irregular Observation,"Randomized trials may feature an outcome measured longitudinally as part of usual care. This reduces trial costs, as no special study visits are required, while allowing for an exploration of longer term outcomes. However, since the timing of the visits is not specified by protocol, this can lead to outcome observation times varying among subjects, and potentially related to the outcomes themselves. This may result in bias unless appropriate analytic methods are used. This talk will explore how two popular classes of methods (inverse-intensity weighting and semi-parametric joint models) can be extended to account for within-cluster correlation.",Eleanor M. Pullenayegum The Hospital for Sick Children,Monday 16:00-16:30,N
Strategies to Handle Missing Binary Outcomes in Cluster Randomized Trials,"Missing data is a common issue in cluster randomized trials (CRTs). Choosing the most appropriate strategy to handle a missing binary outcome in CRTs may be very challenging due to great variability in the design and implementation of such trials. According to published literature, the optimal methods for handling missing outcome data in CRTs are infrequently used in practice. In my presentation, I will provide a brief overview of the methods available in the literature for handling missing binary outcomes in CRTs, and illustrate how to choose and implement the most appropriate missing data strategy based on the design characteristics of the CRTs using both a real CRT and simulated scenarios as examples. I will also address the issues using the population-averaged and cluster-specific methods in analyzing the binary data in CRTs when missing data present.","Jinhui Ma Children's Hospital of Eastern Ontario Research Institute, Monica Taljaard Ottawa Hospital Research Institute, Lisa Dolovich McMaster University, Janusz Kaczorowski University of Montreal, Larry Chambers University of Ottawa, Lehana Thabane McMaster University",Monday 16:30-17:00,N
G-estimation and Model Selection for Dynamic Treatment Regimes,"Dynamic treatment regimes (DTRs) formalize personalized medicine by tailoring treatment decisions to individual patient characteristics. G-estimation for DTR identification targets the parameters of a structural nested mean model (the blip function), from which the optimal DTR is derived. Despite much work focusing on deriving such estimation methods, there has been little focus on extending G-estimation to the case of non-additive effects, non-continuous outcomes or on model selection. We demonstrate how G-estimation can be more widely applied through the use of iteratively-reweighted least squares procedures, and illustrate this for log-linear models. We then derive a quasi-likelihood function for G-estimation within the DTR framework, and show how it can be used to form an information criterion for blip model selection. These developments are demonstrated through simulation, as well as in application to data from the Sequenced Treatment Alternatives to Relieve Depression study.","David A. Stephens McGill University, Michael Wallace University of Waterloo, Erica E.M. Moodie McGill University",Monday 15:30-16:00,N
On the Bayesian Semi-Parametric Double Robustness Property,"We have studied Bayesian doubly robust causal inferences under a framework where the causal contrast is specified in terms of a prediction problem under a hypothetical randomized experiment, and inverse probability of treatment (IPT) weights are introduced as importance sampling weights in Monte Carlo integration. A posterior distribution is produced by sampling from a non-parametric model, with parametric working models introduced for smoothing purposes. Marginal structural models can be estimated similarly through maximization of a parametric utility function. However, it is still unclear how certain other causal estimands such as treatment effects among the treated and structural mean models, and estimation methods such as propensity score regression and g-estimation, could be incorporated into the Bayesian semi-parametric framework. We will review the ideas behind Bayesian doubly robust estimation using IPT weights, and consider extending these to the aforementioned directions. ",Olli Saarela University of Toronto,Monday 16:00-16:30,N
Achieving Higher Efficiency and Robustness in Longitudinal Studies with Dropout,"Intrinsic efficiency and multiple robustness are desirable properties in missing data analysis. We establish both for estimating the mean of a response at the end of a longitudinal study with drop-out. The idea is to calibrate the estimated missingness probability at each visit using data from past visits. We consider one working model for the missingness probability and multiple working models for the data distribution. Intrinsic efficiency guarantees that, when the missingness probability is correctly modelled, the multiple data distribution models, combined with data prior to the end of the study, are optimally accommodated to maximize efficiency. Multiple robustness ensures estimation consistency if the missingness probability model is misspecified but one data distribution model is correct. Our proposed estimators are all convex combinations of the observed responses, and thus always fall within the parameter space.",Peisong Han University of Waterloo,Monday 16:30-17:00,N
Self-Normalized Weak and Strong Functional Limit Laws in the Domain of Attraction of Stable Laws,"We will present a glimpse of Donsker-type weak invariance principles that have been established in these years for self-normalized partial sums processes in the domain of attraction of a stable law with index number in the interval (0, 2]. Special attention will be given to the case of index number 2, i.e., to DAN (domain of attraction of the normal law), and to applications to change-point analysis in this domain, with summands possibly having an infinite variance. Strassen-type strong functional laws and invariance principles in DAN will also be explored in the latter case. ",Miklos Csorgo Carleton University,Monday 15:30-16:00,N
Functional Central Limit Theorems for Self-Normalized Processes with Statistical Applications,"We will revisit Donsker-type functional central limit theorems for self-normalized processes that are based on independent random variables. We will also present some statistical applications of these theorems, including the ones for linear errors-in-variables and regression models, and for construction of asymptotic confidence intervals for a population mean. Some modifications and generalizations of these theorems will be outlined.",Yuliya V. Martsynyuk University of Manitoba,Monday 16:00-16:30,N
Self-Normalized Partial Sums of Randomly Weighted Data,In this talk we address applications of self-normalized partial sums of randomly weighted data (i) in increasing the accuracy of the CLT based confidence intervals and (ii) in drawing inference based on sub-samples drawn from large data sets.,Masoud Nasari Carleton University,Monday 16:30-17:00,N
Discordance in Hormone Receptor Status Between Two Primary Breast Cancers: The Impact of Misclassification,"A Bayesian method is proposed to address misclassification errors in both independent and dependent variables. Our work is motivated by a study of women who have experienced new breast cancers on two separate occasions. Hormone receptors (HRs) are important in breast cancer biology, and it is well recognized that the measurement of HR status is subject to errors. This discordance in HR status for two primary breast cancers is of concern and might be an important reason for treatment failure. We consider a logistic regression model for the association between the HR status of the two cancers and introduce the misclassification parameters accounting for the misclassification in HR status. The prior distribution for sensitivity and specificity is based on how HR status is assessed in laboratory procedures. B-spline terms are used to account for the nonlinear effect of an error-free covariate. Our findings indicate that the true concordance rate of HR status between two primary cancers is greater than the observed value.","Juxin Liu University of Saskatchewan, Paul Gustafson University of British Columbia, Dezheng Huo University of Chicago",Monday 15:30-16:00,N
Estimating the Population Size of Greater Victoria’s Injection Drug Users using Capture-Recapture Methods,"Population size estimation is critical for planning public health programs for injection drug users. Estimation is difficult, as these populations are considered “hidden” or “hard to reach”. The accepted population size estimate for Greater Victoria, Canada is between 1500 and 2000 individuals, which is dated prior to the year 2000, and is likely an underestimate. I will discuss the use of both closed and open mark-recapture models to estimate population size using cross-sectional survey data collected in 2003, 2005 and 2009. All methods provided population size estimates that were higher than the currently accepted estimate. The open-population estimate of the number of the injection drug users in Greater Victoria was relatively stable over time with fewer than 3000 individuals over the 6-year study. Improved estimates of population size and dynamics will assist in improving access to harm reduction services, which may reduce higher risk drug use practices.",Laura L.E. Cowen University of Victoria,Monday 16:00-16:30,N
Statistical Opportunities and Challenges in Multiple-Platform Biomedical Studies,"It has become increasingly common in biomedical research to involve multiple fields (e.g. neuroscience, nutrition, psychiatry, pediatrics etc.) with researchers sharing common overarching goals, under which specific project aims and study designs are carried out by different teams. Due to the nature of linked and often parallel research programs, information regarding the data structure and integration steps is essential when considering statistical analyses. Examples taken from ongoing multiple platform studies will be presented to illustrate some statistical applications, and selected statistical methods for quality assurance, dimension reduction, and visualization, will be discussed. The pros and cons of commonly used statistical approaches in multiple platform studies will be illustrated through real examples.",Wendy Lou University of Toronto,Monday 16:30-17:00,N
Dependent Models for the Duration and Size of BC Fires,"The goal of our research is to jointly model time spent (duration) in days and area burned (size) in hectares from ground attack to final control of a fire as a bivariate survival outcome using either a copula model framework that connects the two outcomes functionally, or a joint modeling framework that connects the two outcomes with a shared random effect. The challenges include the specific framework to be employed, how the longitudinal environmental variables (e.g. precipitation, drought indices) are incorporated, and the complexity of computation associated with two outcomes considered jointly. A key aspect of the project is knowledge translation through collaboration with fire scientists at the federal government to implement the optimal framework developed as a component in the fire prediction system that is concurrently under development by Natural Resources Canada. The direct comparison between the statistical properties of the two broad frameworks is also of interest.","Da Zhong (Dexen) Xi Western University, Charmaine B. Dean Western University, Steve Taylor Pacific Forestry Centre",Monday 15:30-15:45,N
